,open,close,high,low,volume,money
2005/1/4 10:00,16472.1889,16246.093,16472.1889,16229.859,26724,2186917200
2005/1/4 11:15,16246.093,16174.723,16258.468,16128.698,21768,1765456200
2005/1/4 14:15,16174.723,16008.656,16186.894,16006.525,16540,1337251600
2005/1/5 9:15,16008.656,15757.467,16015.661,15562.84,29928,2356753400
2005/1/5 10:15,15762.468,15803.208,15803.208,15738.747,22118,1747713600
2005/1/5 11:30,15803.208,15810.498,15822.008,15761.107,11356,898344800
2005/1/5 14:30,15810.052,15789.129,15827.186,15786.764,12698,1005049700
2005/1/6 9:30,15791.961,15865.113,15935.308,15785.623,17678,1403680300
2005/1/6 10:45,15862.035,15895.317,15908.19,15862.035,5424,431812400
2005/1/6 13:45,15897.27,15882.184,15911.39,15882.184,3278,261086300
2005/1/6 14:45,15878.287,15888.209,15888.209,15803.418,9656,766428800
2005/1/7 9:45,15888.209,15882.778,15890.272,15810.867,9796,777510100
2005/1/7 11:00,15882.778,15873.957,15889.736,15851.931,5330,423293900
2005/1/7 14:00,15873.957,15926.32,15940.847,15871.695,8648,688791500
2005/1/7 15:00,15926.32,15911.687,15950.465,15910.795,7714,614868000
2005/1/10 10:00,15898.523,15932.532,15949.49,15895.473,3762,300097000
2005/1/10 11:15,15932.532,15854.364,15935.41,15843.501,5678,451293200
2005/1/10 14:15,15846.379,15852.544,15858.063,15795.642,9152,725162000
2005/1/11 9:15,15852.544,15892.367,15909.559,15840.273,3488,277175800
2005/1/11 10:15,15890.949,15951.801,16016.322,15890.949,16244,1299939500
2005/1/11 11:30,15957.986,15947.804,15979.613,15935.722,4670,373176800
2005/1/11 14:30,15953.99,15996.335,16001.102,15953.931,8966,717677100
2005/1/12 9:30,15996.335,16004.295,16052.661,15967.016,9578,767172800
2005/1/12 10:45,16005.882,15982.632,16013.738,15982.632,5476,439344800
2005/1/12 13:45,15982.632,15990.619,15992.423,15949.532,4558,364242100
2005/1/12 14:45,15989.161,15997.247,16005.475,15984.286,4762,381460900
2005/1/13 9:45,15997.247,15980.591,16014.701,15963.177,7874,630963900
2005/1/13 11:00,15985.624,15991.111,15996.146,15980.591,1444,115432100
2005/1/13 14:00,15996.144,16009.576,16029.652,15996.144,2922,234004800
2005/1/13 15:00,16009.576,16012.059,16022.125,15990.537,4384,351064300
