,open,close,high,low,volume,money
2012-05-10 10:00:00,6182.445,6129.136,6191.474,6126.466,125580.0,11592682650.0
2012-05-10 11:15:00,6130.121,6098.8909,6145.761,6094.174,74942.0,6881468190.0
2012-05-10 14:15:00,6099.528,6121.51,6133.584,6095.551,81328.0,7452877800.0
2012-05-11 09:15:00,6122.192,6089.0959,6166.991,6078.374,113850.0,10446917910.0
2012-05-11 10:15:00,6089.339,6072.22,6090.088,6055.862,61414.0,5591704560.0
2012-05-11 11:30:00,6071.988,6067.082,6092.17,6063.634,46458.0,4232835690.0
2012-05-11 14:30:00,6071.33,6045.291,6074.775,6024.947,65366.0,5926236270.0
2012-05-14 09:30:00,6045.535,6007.549,6053.387,5994.213,94334.0,8524222950.0
2012-05-14 10:45:00,6007.009,6005.014,6035.27,5979.2879,77394.0,6973246770.0
2012-05-14 13:45:00,6004.561,6006.025,6023.647,5999.889,34932.0,3147936480.0
2012-05-14 14:45:00,6006.025,5970.076,6006.025,5967.369,55048.0,4940020320.0
2012-05-15 09:45:00,5969.079,5831.134,5988.062,5824.6629,122196.0,10778689620.0
2012-05-15 11:00:00,5832.361,5833.277,5869.468,5827.561,71304.0,6250167690.0
2012-05-15 14:00:00,5834.277,5763.869,5849.899,5724.805,162470.0,14097145200.0
2012-05-15 15:00:00,5763.633,5846.633,5851.851,5762.877,171914.0,14979181890.0
2012-05-16 10:00:00,5753.578,5728.389,5788.428,5701.977,242474.0,20869400610.0
2012-05-16 11:15:00,5728.613,5702.717,5731.818,5686.823,161286.0,13798991070.0
2012-05-16 14:15:00,5702.942,5666.9799,5713.352,5663.6809,166386.0,14199942030.0
2012-05-17 09:15:00,5666.9799,5761.583,5767.083,5648.1989,218736.0,18701119800.0
2012-05-17 10:15:00,5761.597,5731.566,5778.491,5720.13,206354.0,17776027260.0
2012-05-17 11:30:00,5737.8059,5742.226,5759.81,5726.279,113214.0,9747921210.0
2012-05-17 14:30:00,5748.588,5781.691,5792.517,5745.902,142132.0,12311201880.0
2012-05-18 09:30:00,5782.4489,5781.712,5826.168,5757.472,191552.0,16617127980.0
2012-05-18 10:45:00,5780.72,5829.729,5851.258,5777.988,183574.0,16024742640.0
2012-05-18 13:45:00,5828.492,5802.283,5888.273,5794.3459,218626.0,19156462980.0
2012-05-18 14:45:00,5802.0379,5869.048,5883.486,5800.543,232172.0,20365884450.0
2012-05-21 09:45:00,5868.79,5933.482,5964.821,5861.92,216100.0,19201123980.0
2012-05-21 11:00:00,5933.269,5945.017,5961.843,5928.942,92478.0,8241232740.0
2012-05-21 14:00:00,5945.2299,5943.0959,5956.193,5933.159,74900.0,6675079830.0
2012-05-21 15:00:00,5943.081,5944.683,5946.617,5908.484,136436.0,12125617140.0
2012-05-22 10:00:00,5927.785,5913.761,5929.405,5892.951,165962.0,14707554150.0
2012-05-22 11:15:00,5913.761,5909.974,5919.246,5902.821,62308.0,5519808720.0
2012-05-22 14:15:00,5909.74,5915.009,5934.8729,5897.8459,97434.0,8639384670.0
2012-05-23 09:15:00,5915.244,5811.154,5919.453,5788.897,149870.0,13169642850.0
2012-05-23 10:15:00,5811.154,5810.893,5822.336,5803.424,67996.0,5925257070.0
2012-05-23 11:30:00,5807.917,5784.597,5821.831,5781.412,87868.0,7643099190.0
2012-05-23 14:30:00,5778.064,5773.55,5792.567,5765.04,76962.0,6666601170.0
2012-05-24 09:30:00,5773.533,5820.7969,5832.683,5768.349,140338.0,12216767850.0
2012-05-24 10:45:00,5821.341,5812.406,5831.961,5804.472,68476.0,5973439710.0
2012-05-24 13:45:00,5812.406,5788.856,5818.352,5773.187,67640.0,5878149480.0
2012-05-24 14:45:00,5789.303,5802.836,5812.435,5786.328,70118.0,6096305160.0
2012-05-25 09:45:00,5803.828,5840.827,5863.012,5801.844,137172.0,12013061280.0
2012-05-25 11:00:00,5840.035,5825.9489,5853.139,5825.156,71548.0,6264845310.0
2012-05-25 14:00:00,5825.946,5853.99,5867.307,5810.247,119540.0,10455735210.0
2012-05-25 15:00:00,5853.198,5909.256,5917.169,5843.686,185864.0,16383142440.0
2012-05-28 10:00:00,5945.5649,5951.826,5960.437,5921.695,149498.0,13317974880.0
2012-05-28 11:15:00,5952.028,5961.457,5963.627,5938.521,65258.0,5819467230.0
2012-05-28 14:15:00,5961.657,5982.079,5993.75,5945.773,117300.0,10507774050.0
2012-05-29 09:15:00,5982.872,5947.034,5998.212,5928.553,157420.0,14082689010.0
2012-05-29 10:15:00,5947.84,5936.939,5957.349,5932.969,81478.0,7259505180.0
2012-05-29 11:30:00,5937.722,5948.676,5960.527,5936.156,71672.0,6388773330.0
2012-05-29 14:30:00,5948.258,5986.086,5988.07,5947.841,119314.0,10681316910.0
2012-05-30 09:30:00,5986.086,5839.279,5989.062,5811.548,156144.0,13783408320.0
2012-05-30 10:45:00,5840.069,5822.125,5841.816,5808.216,78454.0,6855229110.0
2012-05-30 13:45:00,5821.552,5846.336,5846.336,5816.182,74560.0,6512947410.0
2012-05-30 14:45:00,5846.559,5832.544,5861.0959,5829.568,94836.0,8310552300.0
2012-05-31 09:45:00,5832.342,5859.03,5869.923,5806.158,182402.0,15980416110.0
2012-05-31 11:00:00,5858.472,5852.584,5864.986,5842.11,63502.0,5573357550.0
2012-05-31 14:00:00,5853.018,5880.559,5882.108,5851.034,92916.0,8168417880.0
2012-05-31 15:00:00,5880.577,5857.587,5885.535,5854.272,117822.0,10369237410.0
2012-06-01 10:00:00,5809.582,5817.665,5825.379,5779.109,134022.0,11661246960.0
2012-06-01 11:15:00,5816.893,5820.856,5823.606,5806.192,45296.0,3947977590.0
