,open,close,high,low,volume,money
2005-01-04 10:00:00,16472.1889,16246.093,16472.1889,16229.859,26724.0,2186917200.0
2005-01-04 11:15:00,16246.093,16174.723,16258.468,16128.698,21768.0,1765456200.0
2005-01-04 14:15:00,16174.723,16008.656,16186.894,16006.525,16540.0,1337251600.0
2005-01-05 09:15:00,16008.656,15757.467,16015.661,15562.84,29928.0,2356753400.0
2005-01-05 10:15:00,15762.468,15803.208,15803.208,15738.747,22118.0,1747713600.0
2005-01-05 11:30:00,15803.208,15810.498,15822.008,15761.107,11356.0,898344800.0
2005-01-05 14:30:00,15811.052,15789.129,15827.186,15786.764,12698.0,1005049700.0
2005-01-06 09:30:00,15791.961,15865.113,15935.308,15785.623,17678.0,1403680300.0
2005-01-06 10:45:00,15862.035,15895.317,15908.19,15862.035,5424.0,431812400.0
2005-01-06 13:45:00,15897.27,15882.184,15911.39,15882.184,3278.0,261086300.0
2005-01-06 14:45:00,15878.287,15888.209,15888.209,15803.418,9656.0,766428800.0
2005-01-07 09:45:00,15888.209,15882.778,15890.272,15810.867,9796.0,777510100.0
2005-01-07 11:00:00,15882.778,15873.957,15889.736,15851.931,5330.0,423293900.0
2005-01-07 14:00:00,15873.957,15926.32,15940.847,15871.695,8648.0,688791500.0
2005-01-07 15:00:00,15926.32,15911.687,15950.465,15910.795,7714.0,614868000.0
2005-01-10 10:00:00,15898.523,15932.532,15949.49,15895.473,3762.0,300097000.0
2005-01-10 11:15:00,15932.532,15854.364,15935.41,15843.501,5678.0,451293200.0
2005-01-10 14:15:00,15846.379,15852.544,15858.063,15795.642,9152.0,725162000.0
2005-01-11 09:15:00,15852.544,15892.367,15909.559,15840.273,3488.0,277175800.0
2005-01-11 10:15:00,15890.949,15951.801,16016.322,15890.949,16244.0,1299939500.0
2005-01-11 11:30:00,15957.986,15947.804,15979.613,15935.722,4670.0,373176800.0
2005-01-11 14:30:00,15953.99,15996.335,16001.102,15953.931,8966.0,717677100.0
2005-01-12 09:30:00,15996.335,16004.295,16052.661,15967.016,9578.0,767172800.0
2005-01-12 10:45:00,16005.882,15982.632,16013.738,15982.632,5476.0,439344800.0
2005-01-12 13:45:00,15982.632,15990.619,15992.423,15949.532,4558.0,364242100.0
2005-01-12 14:45:00,15989.161,15997.247,16005.475,15984.286,4762.0,381460900.0
2005-01-13 09:45:00,15997.247,15980.591,16014.701,15963.177,7874.0,630963900.0
2005-01-13 11:00:00,15985.624,15991.111,15996.146,15980.591,1444.0,115432100.0
2005-01-13 14:00:00,15996.144,16009.576,16029.652,15996.144,2922.0,234004800.0
2005-01-13 15:00:00,16009.576,16012.059,16022.125,15990.537,4384.0,351064300.0
2005-01-14 10:00:00,15968.149,16009.334,16037.192,15952.291,6122.0,490714300.0
2005-01-14 11:15:00,16009.334,15978.668,16010.807,15963.64,3630.0,290456900.0
2005-01-14 14:15:00,15978.668,15982.67,15999.321,15965.112,2724.0,217894900.0
2005-01-17 09:15:00,15982.67,16005.758,16024.293,15981.229,3504.0,281203500.0
2005-01-17 10:15:00,16005.758,16113.584,16150.565,16005.758,12832.0,1034398200.0
2005-01-17 11:30:00,16111.761,16079.237,16115.832,16078.046,3658.0,294643400.0
2005-01-17 14:30:00,16079.237,16125.982,16133.871,16076.403,5534.0,447171900.0
2005-01-18 09:30:00,16125.917,16062.421,16133.482,16058.607,10028.0,809093700.0
2005-01-18 10:45:00,16063.168,16017.161,16074.763,16000.904,5822.0,466722200.0
2005-01-18 13:45:00,16019.463,16041.691,16045.381,16016.398,2372.0,190210100.0
2005-01-18 14:45:00,16041.691,16045.424,16056.041,16040.072,1656.0,132999800.0
2005-01-19 09:45:00,16045.424,16007.605,16071.603,15999.141,5284.0,424490300.0
2005-01-19 11:00:00,16007.605,16029.322,16032.019,16005.113,1478.0,118551300.0
2005-01-19 14:00:00,16026.83,16041.212,16041.212,16012.599,3380.0,270976400.0
2005-01-19 15:00:00,16046.785,16071.199,16082.155,16046.785,3918.0,315213700.0
2005-01-20 10:00:00,16035.061,16044.56,16067.098,16034.244,3272.0,262914800.0
2005-01-20 11:15:00,16043.742,16071.415,16091.845,16042.303,3292.0,264542200.0
2005-01-20 14:15:00,16069.976,16073.592,16085.056,16056.178,2746.0,220962800.0
2005-01-21 09:15:00,16073.592,16105.006,16115.099,16071.336,3752.0,302046500.0
2005-01-21 10:15:00,16105.006,16130.121,16149.823,16096.119,3300.0,266463300.0
2005-01-21 11:30:00,16130.121,16119.108,16130.121,16110.419,1752.0,141208200.0
2005-01-21 14:30:00,16126.782,16135.613,16145.706,16115.555,1940.0,156398300.0
2005-01-24 09:30:00,16132.985,16244.934,16279.427,16127.938,6932.0,562231900.0
2005-01-24 10:45:00,16244.061,16344.137,16361.379,16236.955,7298.0,594972500.0
