,open,close,high,low,volume,money
2008-01-09 10:00:00,230.96,230.96,230.96,230.96,0.0,0.0
2008-01-09 11:15:00,230.96,230.96,230.96,230.96,0.0,0.0
2008-01-09 14:15:00,230.96,230.96,230.96,230.96,0.0,0.0
2008-01-10 09:15:00,230.96,221.214,230.96,219.926,12316.0,2720728909.0
2008-01-10 10:15:00,221.174,221.008,221.798,220.636,13700.0,3025410886.0
2008-01-10 11:30:00,220.944,217.82,221.057,217.417,25270.0,5540037012.0
2008-01-10 14:30:00,216.781,215.21,217.11,214.857,27634.0,5951966132.0
2008-01-11 09:30:00,215.19,216.288,219.659,214.228,36940.0,7991308552.0
2008-01-11 10:45:00,216.287,218.074,218.652,216.288,23798.0,5177297866.0
2008-01-11 13:45:00,218.062,218.777,218.9,218.055,21530.0,4694873909.0
2008-01-11 14:45:00,218.777,218.586,218.777,217.16,19168.0,4190496165.0
2008-01-14 09:45:00,218.585,219.461,219.792,217.762,22614.0,4951071440.0
2008-01-14 11:00:00,219.461,218.944,220.36,218.551,21854.0,4792367674.0
2008-01-14 14:00:00,218.904,219.691,219.77,218.678,9488.0,2079146852.0
2008-01-14 15:00:00,219.686,220.311,220.338,219.39,14990.0,3293616007.0
2008-01-15 10:00:00,220.747,223.897,224.642,220.539,34850.0,7752674369.0
2008-01-15 11:15:00,223.908,224.08,224.255,223.207,24080.0,5384927839.0
2008-01-15 14:15:00,224.036,223.54,224.112,222.989,16016.0,3578527128.0
2008-01-16 09:15:00,223.54,218.247,224.253,217.508,29776.0,6595770007.0
2008-01-16 10:15:00,218.443,219.508,219.953,218.133,19640.0,4298011553.0
2008-01-16 11:30:00,219.665,218.984,219.958,218.479,17108.0,3742663810.0
2008-01-16 14:30:00,217.917,216.275,217.917,215.688,36200.0,7826562216.0
2008-01-17 09:30:00,216.275,215.144,216.355,213.336,24728.0,5323218966.0
2008-01-17 10:45:00,215.144,216.044,216.244,214.73,15814.0,3406929394.0
2008-01-17 13:45:00,216.058,215.04,216.153,214.82,12006.0,2586514032.0
2008-01-17 14:45:00,215.064,216.722,216.928,215.039,18060.0,3900928662.0
