,open,close,high,low,volume,money
2013-10-09 10:00:00,4601.4489,4548.628,4658.208,4534.919,146408.0,6689116120.0
2013-10-09 11:15:00,4548.66,4540.554,4560.551,4531.558,60724.0,2758893320.0
2013-10-09 14:15:00,4540.535,4511.182,4540.535,4503.13,87310.0,3938447680.0
2013-10-10 09:15:00,4513.025,4499.78,4517.4489,4458.331,106788.0,4798407040.0
2013-10-10 10:15:00,4499.78,4515.386,4527.081,4490.028,57688.0,2597607640.0
2013-10-10 11:30:00,4515.402,4487.741,4517.384,4485.92,45734.0,2057264680.0
2013-10-10 14:30:00,4491.6139,4505.2569,4511.442,4487.865,32450.0,1459003560.0
2013-10-11 09:30:00,4505.2569,4517.901,4525.659,4489.832,78036.0,3516642400.0
2013-10-11 10:45:00,4518.0,4505.715,4521.885,4499.916,30470.0,1373821040.0
2013-10-11 13:45:00,4504.813,4493.986,4509.654,4486.428,25718.0,1155462160.0
2013-10-11 14:45:00,4493.986,4478.262,4493.986,4472.362,48102.0,2154173920.0
2013-10-14 09:45:00,4480.133,4483.206,4493.256,4459.911,63660.0,2849577360.0
2013-10-14 11:00:00,4481.309,4461.529,4487.126,4451.807,29800.0,1331116680.0
2013-10-14 14:00:00,4461.606,4451.5069,4465.323,4437.847,53172.0,2363635680.0
2013-10-14 15:00:00,4451.5069,4447.203,4453.501,4439.72,28912.0,1285083160.0
2013-10-15 10:00:00,4453.379,4469.52,4487.169,4447.578,54872.0,2451264600.0
2013-10-15 11:15:00,4469.52,4471.402,4471.402,4447.937,37614.0,1675567360.0
2013-10-15 14:15:00,4471.553,4449.991,4497.487,4442.108,83064.0,3713766680.0
2013-10-16 09:15:00,4451.887,4447.515,4453.867,4431.71,48580.0,2158637480.0
2013-10-16 10:15:00,4447.654,4453.495,4487.195,4445.6809,90002.0,4015212240.0
2013-10-16 11:30:00,4453.425,4451.68,4459.429,4443.741,20834.0,926848200.0
2013-10-16 14:30:00,4449.519,4441.709,4475.1719,4437.707,57740.0,2569687960.0
2013-10-17 09:30:00,4441.709,4449.264,4462.973,4433.828,54464.0,2421510400.0
2013-10-17 10:45:00,4449.264,4445.185,4455.13,4441.361,24410.0,1085034320.0
2013-10-17 13:45:00,4443.273,4427.326,4445.25,4419.46,47378.0,2099026840.0
2013-10-17 14:45:00,4427.326,4421.453,4429.238,4413.409,27326.0,1207588600.0
2013-10-18 09:45:00,4421.453,4419.05,4427.05,4405.629,33926.0,1497338080.0
2013-10-18 11:00:00,4417.138,4416.9799,4425.0159,4411.1139,15648.0,691169800.0
2013-10-18 14:00:00,4416.9799,4422.809,4432.77,4413.023,26484.0,1171458920.0
2013-10-18 15:00:00,4422.809,4406.83,4422.809,4404.919,24996.0,1102473920.0
2013-10-21 10:00:00,4417.5959,4447.008,4468.726,4409.731,102890.0,4577252680.0
2013-10-21 11:15:00,4447.048,4448.982,4458.689,4443.102,14670.0,652597680.0
2013-10-21 14:15:00,4448.982,4457.029,4458.937,4437.284,23878.0,1062123200.0
2013-10-22 09:15:00,4457.029,4441.445,4460.9219,4441.445,27294.0,1214731200.0
2013-10-22 10:15:00,4441.348,4441.025,4441.4309,4431.579,17294.0,766960080.0
2013-10-22 11:30:00,4439.2209,4439.2209,4448.995,4435.361,13112.0,582010000.0
2013-10-22 14:30:00,4437.333,4437.352,4443.164,4435.334,8006.0,355149480.0
2013-10-23 09:30:00,4437.352,4427.5069,4447.36,4421.865,21544.0,954613840.0
2013-10-23 10:45:00,4427.5069,4421.7209,4427.745,4416.094,14628.0,646417600.0
2013-10-23 13:45:00,4419.666,4427.442,4433.467,4411.874,25106.0,1109247640.0
2013-10-23 14:45:00,4427.442,4433.817,4445.4799,4427.442,27400.0,1215456960.0
2013-10-24 09:45:00,4433.817,4457.203,4469.055,4429.645,48720.0,2166805560.0
2013-10-24 11:00:00,4455.319,4472.885,4476.6899,4441.633,41248.0,1838784720.0
2013-10-24 14:00:00,4472.983,4463.03,4476.629,4459.255,34564.0,1543221960.0
2013-10-24 15:00:00,4463.112,4460.673,4482.6629,4458.7879,42618.0,1904558360.0
2013-10-25 10:00:00,4463.866,4421.874,4465.599,4416.472,51510.0,2280164400.0
2013-10-25 11:15:00,4423.65,4429.703,4429.703,4418.091,16720.0,738980080.0
2013-10-25 14:15:00,4429.703,4421.985,4429.703,4414.4489,26210.0,1158069440.0
2013-10-28 09:15:00,4421.985,4380.251,4425.691,4362.416,43318.0,1905044400.0
2013-10-28 10:15:00,4380.251,4354.253,4384.147,4340.8059,41540.0,1811249280.0
2013-10-28 11:30:00,4354.253,4338.245,4358.11,4332.408,37332.0,1619927720.0
2013-10-28 14:30:00,4338.245,4298.247,4338.245,4296.2,119418.0,5148509600.0
2013-10-29 09:30:00,4300.051,4273.751,4300.051,4251.963,202334.0,8638727200.0
2013-10-29 10:45:00,4271.821,4262.006,4279.688,4250.033,78134.0,3331625160.0
2013-10-29 13:45:00,4262.006,4265.657,4273.622,4255.897,45290.0,1930287560.0
2013-10-29 14:45:00,4265.706,4269.74,4279.429,4257.914,36278.0,1547956920.0
2013-10-30 09:45:00,4271.67,4242.653,4282.3239,4230.979,112422.0,4777743840.0
2013-10-30 11:00:00,4242.595,4238.729,4248.55,4234.929,34210.0,1450711360.0
2013-10-30 14:00:00,4238.756,4305.933,4319.959,4236.857,178762.0,7665626680.0
2013-10-30 15:00:00,4305.863,4316.9979,4329.485,4305.863,77092.0,3325626280.0
2013-10-31 10:00:00,4308.749,4295.893,4325.432,4290.232,62752.0,2702080680.0
2013-10-31 11:15:00,4296.076,4303.777,4317.496,4296.076,23234.0,999707960.0
2013-10-31 14:15:00,4303.777,4309.522,4319.385,4295.924,23222.0,1000410520.0
2013-11-01 09:15:00,4307.617,4276.703,4313.267,4269.1049,39360.0,1687834440.0
2013-11-01 10:15:00,4276.501,4329.9799,4341.56,4259.586,115100.0,4953534960.0
2013-11-01 11:30:00,4328.126,4322.16,4330.082,4318.536,19364.0,836734320.0
2013-11-01 14:30:00,4324.014,4329.725,4333.433,4321.9309,20750.0,897735280.0
2013-11-04 09:30:00,4331.579,4319.916,4331.579,4282.037,40790.0,1759170120.0
2013-11-04 10:45:00,4319.916,4319.927,4337.284,4310.359,30676.0,1325556520.0
2013-11-04 13:45:00,4320.072,4312.122,4331.651,4306.46,21742.0,938540360.0
2013-11-04 14:45:00,4312.122,4318.443,4322.153,4308.5,14114.0,608627600.0
2013-11-05 09:45:00,4320.101,4292.238,4333.584,4286.448,51452.0,2217318720.0
2013-11-05 11:00:00,4292.196,4278.629,4301.869,4268.937,33124.0,1418444520.0
2013-11-05 14:00:00,4280.446,4311.722,4311.853,4280.446,33022.0,1418210240.0
2013-11-05 15:00:00,4311.722,4311.593,4313.539,4304.269,15896.0,684364200.0
2013-11-06 10:00:00,4303.079,4317.225,4319.046,4294.262,25862.0,1113012560.0
2013-11-06 11:15:00,4316.9309,4305.585,4318.752,4299.926,16934.0,728843680.0
2013-11-06 14:15:00,4305.585,4310.193,4317.622,4295.99,17086.0,735738560.0
2013-11-07 09:15:00,4312.014,4306.225,4324.314,4294.6229,25296.0,1089973880.0
2013-11-07 10:15:00,4308.276,4310.301,4317.8819,4298.685,14166.0,610178720.0
2013-11-07 11:30:00,4310.301,4310.332,4317.924,4306.575,10190.0,439359440.0
2013-11-07 14:30:00,4308.453,4288.937,4312.21,4285.178,31314.0,1344827520.0
2013-11-08 09:30:00,4290.8149,4259.428,4298.734,4255.685,77482.0,3311158520.0
2013-11-08 10:45:00,4259.611,4275.546,4282.915,4257.857,25904.0,1105689280.0
2013-11-08 13:45:00,4275.537,4275.268,4284.918,4271.384,16468.0,703855280.0
2013-11-08 14:45:00,4275.268,4263.535,4275.4219,4261.607,20788.0,886546440.0
2013-11-11 09:45:00,4263.483,4277.138,4289.226,4257.5159,31730.0,1355619600.0
2013-11-11 11:00:00,4277.138,4267.527,4277.138,4262.002,12784.0,545403920.0
2013-11-11 14:00:00,4267.527,4273.497,4277.245,4263.792,10170.0,434074920.0
2013-11-11 15:00:00,4273.497,4281.715,4285.279,4271.629,15820.0,676458640.0
2013-11-12 10:00:00,4276.126,4281.927,4293.458,4272.791,22784.0,975147080.0
2013-11-12 11:15:00,4281.851,4281.611,4285.345,4275.46,9640.0,412483240.0
2013-11-12 14:15:00,4281.611,4303.021,4310.848,4281.606,39560.0,1699464360.0
2013-11-13 09:15:00,4303.021,4288.78,4308.66,4281.283,25496.0,1094915000.0
2013-11-13 10:15:00,4290.616,4272.113,4290.764,4265.789,21776.0,930279680.0
2013-11-13 11:30:00,4273.9489,4274.434,4285.716,4270.495,17396.0,743152440.0
2013-11-13 14:30:00,4274.205,4278.103,4279.866,4272.216,6580.0,281108120.0
2013-11-14 09:30:00,4276.191,4299.599,4306.462,4274.278,21154.0,906588840.0
2013-11-14 10:45:00,4299.599,4290.323,4301.446,4289.939,10758.0,461761560.0
2013-11-14 13:45:00,4292.17,4297.8549,4301.763,4290.323,7432.0,319143440.0
2013-11-14 14:45:00,4296.008,4279.902,4301.689,4274.496,17064.0,730641200.0
2013-11-15 09:45:00,4279.902,4282.805,4286.493,4251.279,67216.0,2866712520.0
2013-11-15 11:00:00,4284.649,4281.05,4288.339,4277.058,16726.0,715605200.0
2013-11-15 14:00:00,4281.05,4273.104,4286.508,4273.104,15920.0,680687720.0
2013-11-15 15:00:00,4274.948,4274.762,4280.577,4270.972,13362.0,570672840.0
2013-11-18 10:00:00,4282.246,4292.51,4318.059,4276.753,34074.0,1463894480.0
2013-11-18 11:15:00,4292.51,4292.433,4298.233,4288.771,4938.0,211873240.0
2013-11-18 14:15:00,4292.433,4290.68,4298.389,4288.849,5454.0,233918240.0
2013-11-19 09:15:00,4290.68,4302.151,4303.988,4285.618,9972.0,427885240.0
2013-11-19 10:15:00,4302.151,4290.642,4310.048,4284.83,16678.0,715773280.0
2013-11-19 11:30:00,4290.642,4288.817,4292.418,4286.907,3856.0,165206880.0
2013-11-19 14:30:00,4288.817,4288.807,4292.417,4269.474,26708.0,1141452120.0
2013-11-20 09:30:00,4288.807,4319.759,4325.283,4285.1319,38906.0,1674393960.0
2013-11-20 10:45:00,4321.673,4317.708,4323.592,4302.398,17166.0,739892080.0
2013-11-20 13:45:00,4317.708,4318.107,4320.025,4310.24,8284.0,357286680.0
2013-11-20 14:45:00,4318.107,4310.549,4329.829,4306.646,27042.0,1166044480.0
2013-11-21 09:45:00,4310.549,4302.511,4314.581,4293.2389,18808.0,808896120.0
2013-11-21 11:00:00,4300.675,4312.579,4314.415,4299.069,4856.0,208880040.0
2013-11-21 14:00:00,4312.809,4305.367,4312.809,4299.421,7252.0,312013560.0
2013-11-21 15:00:00,4305.367,4302.9399,4312.787,4302.9399,8748.0,376415600.0
2013-11-22 10:00:00,4316.02,4328.447,4338.38,4316.02,20398.0,881883840.0
2013-11-22 11:15:00,4326.611,4317.465,4338.191,4315.115,22306.0,964103360.0
2013-11-22 14:15:00,4315.629,4315.083,4323.05,4313.247,11136.0,480244360.0
2013-11-25 09:15:00,4314.93,4328.432,4353.906,4313.094,30160.0,1305734520.0
2013-11-25 10:15:00,4328.432,4326.8149,4334.5469,4320.923,13522.0,584916280.0
2013-11-25 11:30:00,4328.656,4330.859,4338.082,4323.206,8822.0,381743520.0
2013-11-25 14:30:00,4330.644,4328.535,4330.644,4321.085,9406.0,406448200.0
2013-11-26 09:30:00,4328.467,4420.456,4446.628,4328.467,131268.0,5771219200.0
2013-11-26 10:45:00,4420.456,4422.024,4433.852,4420.1989,28268.0,1251116120.0
2013-11-26 13:45:00,4421.958,4385.035,4421.958,4371.53,69632.0,3058436720.0
2013-11-26 14:45:00,4385.035,4367.465,4396.631,4356.003,32502.0,1421020840.0
2013-11-27 09:45:00,4365.591,4355.939,4387.045,4353.866,34524.0,1507559960.0
2013-11-27 11:00:00,4356.011,4349.731,4365.174,4347.865,17174.0,747511960.0
2013-11-27 14:00:00,4349.731,4343.919,4351.5959,4336.196,21776.0,945035840.0
2013-11-27 15:00:00,4342.053,4340.559,4351.559,4336.52,15512.0,673111520.0
2013-11-28 10:00:00,4335.667,4336.861,4346.186,4323.599,16128.0,698701240.0
2013-11-28 11:15:00,4336.783,4350.484,4358.13,4336.634,9860.0,428246320.0
2013-11-28 14:15:00,4352.325,4346.683,4362.088,4346.683,12340.0,536933000.0
2013-11-29 09:15:00,4346.611,4350.554,4369.959,4338.624,18646.0,810863320.0
2013-11-29 10:15:00,4350.583,4344.779,4356.453,4337.037,11020.0,478543240.0
2013-11-29 11:30:00,4346.77,4356.732,4362.35,4344.937,9006.0,391831800.0
2013-11-29 14:30:00,4356.5739,4354.09,4361.804,4348.683,7890.0,343310400.0
2013-12-02 09:30:00,4354.09,4350.883,4367.393,4348.287,14010.0,609794360.0
2013-12-02 10:45:00,4350.883,4356.328,4359.906,4345.0159,9994.0,434541120.0
2013-12-02 13:45:00,4356.328,4360.115,4375.397,4350.643,15354.0,669186440.0
2013-12-02 14:45:00,4360.115,4356.309,4363.794,4352.376,7388.0,321567560.0
2013-12-03 09:45:00,4356.309,4391.474,4405.345,4354.469,44828.0,1963680800.0
2013-12-03 11:00:00,4389.639,4377.496,4391.549,4374.019,17704.0,775157920.0
2013-12-03 14:00:00,4377.496,4392.52,4392.52,4375.642,12056.0,528363880.0
2013-12-03 15:00:00,4392.613,4385.31,4392.689,4377.351,13698.0,600063040.0
2013-12-04 10:00:00,4409.142,4397.345,4414.3909,4391.234,47722.0,2100112880.0
2013-12-04 11:15:00,4397.345,4385.383,4404.888,4381.793,18996.0,834284320.0
