,open,close,high,low,volume,money
2005-01-04 10:00:00,29470.498,29401.032,29475.132,29252.987,59064.0,8617709700.0
2005-01-04 11:15:00,29405.904,29480.469,29501.164,29356.855,26456.0,3874671300.0
2005-01-04 14:15:00,29481.233,29190.756,29518.541,29188.654,46322.0,6758761500.0
2005-01-05 09:15:00,29190.756,28306.646,29190.756,28306.646,94764.0,13581217000.0
2005-01-05 10:15:00,28306.646,28306.646,28306.67,28306.646,1106.0,154549600.0
2005-01-05 11:30:00,28306.646,28306.627,28306.646,28306.627,856.0,120328300.0
2005-01-05 14:30:00,28306.676,28306.627,28306.749,28306.627,3996.0,560954600.0
2005-01-06 09:30:00,28306.627,28636.681,28725.589,28279.576,88838.0,12651047900.0
2005-01-06 10:45:00,28630.51,28663.777,28703.384,28618.311,45076.0,6448902400.0
2005-01-06 13:45:00,28667.267,28663.31,28704.084,28639.771,21026.0,3006476700.0
2005-01-06 14:45:00,28656.031,28732.91,28737.053,28563.754,42882.0,6107928300.0
2005-01-07 09:45:00,28732.91,28708.15,28772.96,28559.712,64746.0,9231617500.0
2005-01-07 11:00:00,28706.827,28616.978,28712.026,28580.969,27650.0,3942139500.0
2005-01-07 14:00:00,28616.978,28683.899,28704.422,28613.984,18638.0,2663706900.0
2005-01-07 15:00:00,28684.882,28678.414,28778.43,28666.488,38944.0,5577952700.0
2005-01-10 10:00:00,28576.709,28719.742,28761.664,28537.027,45238.0,6460917400.0
2005-01-10 11:15:00,28715.211,28638.186,28737.809,28625.029,23712.0,3398028100.0
2005-01-10 14:15:00,28637.665,28324.884,28639.857,28128.568,86862.0,12249345500.0
2005-01-11 09:15:00,28324.884,28610.914,28688.32,28286.744,63374.0,8973702000.0
2005-01-11 10:15:00,28610.545,28574.611,28657.483,28493.445,39804.0,5655933900.0
2005-01-11 11:30:00,28580.88,28569.404,28639.25,28517.415,33364.0,4742922800.0
2005-01-11 14:30:00,28573.31,28613.583,28639.701,28553.338,23140.0,3292026000.0
2005-01-12 09:30:00,28613.583,28865.076,28949.848,28611.975,59142.0,8477664500.0
2005-01-12 10:45:00,28860.059,28873.112,28898.029,28826.617,20618.0,2953171500.0
2005-01-12 13:45:00,28868.404,28908.844,28918.663,28857.929,18024.0,2596178800.0
2005-01-12 14:45:00,28908.844,28956.462,28995.62,28897.7,31086.0,4469379300.0
2005-01-13 09:45:00,28956.293,28783.436,29018.903,28704.824,79828.0,11453524900.0
2005-01-13 11:00:00,28781.233,28840.625,28856.514,28761.577,21134.0,3026939700.0
2005-01-13 14:00:00,28840.945,28842.337,28878.429,28806.864,21492.0,3093168700.0
2005-01-13 15:00:00,28846.638,28844.085,28898.347,28832.09,28950.0,4153627400.0
2005-01-14 10:00:00,28544.655,28724.154,28755.823,28532.918,60076.0,8581077600.0
2005-01-14 11:15:00,28719.535,28692.103,28728.773,28617.425,32722.0,4665328000.0
2005-01-14 14:15:00,28690.233,28712.608,28750.489,28669.507,28282.0,4058243800.0
2005-01-17 09:15:00,28712.608,28965.592,28991.047,28699.029,54656.0,7893070000.0
2005-01-17 10:15:00,28965.01,29275.976,29394.775,28957.21,88166.0,12842440400.0
2005-01-17 11:30:00,29267.259,29187.852,29293.758,29176.837,37864.0,5499219500.0
2005-01-17 14:30:00,29185.213,29275.718,29302.201,29181.065,29564.0,4289079200.0
2005-01-18 09:30:00,29274.094,29010.169,29291.772,28992.488,76124.0,11067836500.0
2005-01-18 10:45:00,29009.578,28910.794,29088.98,28772.948,48240.0,6953831200.0
2005-01-18 13:45:00,28911.692,29020.892,29039.053,28891.945,33270.0,4799882300.0
2005-01-18 14:45:00,29021.483,29040.41,29127.907,29008.652,38078.0,5515247200.0
2005-01-19 09:45:00,29042.881,29207.439,29278.798,28990.929,81936.0,11888775500.0
