,open,close,high,low,volume,money
2005-01-04 10:00:00,2028.11,2006.809,2028.11,2006.809,2068.0,41344820.0
2005-01-04 11:15:00,2006.809,2001.979,2006.809,2000.94,1380.0,27541700.0
2005-01-04 14:15:00,2001.979,1989.902,2002.824,1986.795,3032.0,60257900.0
2005-01-05 09:15:00,1989.902,1997.334,1999.739,1983.023,6646.0,132185180.0
2005-01-05 10:15:00,1997.334,2010.012,2012.683,1994.444,12052.0,241724640.0
2005-01-05 11:30:00,2010.069,2009.365,2011.977,2004.531,5938.0,119242760.0
2005-01-05 14:30:00,2008.459,2008.473,2015.07,2007.567,6312.0,126919480.0
2005-01-06 09:30:00,2008.473,1999.149,2009.463,1994.438,8602.0,172064560.0
2005-01-06 10:45:00,1999.149,1991.694,1999.149,1989.641,2126.0,42385280.0
2005-01-06 13:45:00,1990.807,1994.367,1997.166,1990.807,2518.0,50176880.0
2005-01-06 14:45:00,1994.367,1990.866,1997.155,1990.866,2222.0,44277900.0
2005-01-07 09:45:00,1989.98,2010.851,2019.951,1989.626,9734.0,195459520.0
2005-01-07 11:00:00,2009.977,2007.645,2011.108,2006.738,2428.0,48748020.0
2005-01-07 14:00:00,2006.771,2003.626,2007.301,2002.752,2968.0,59493260.0
2005-01-07 15:00:00,2003.628,2003.708,2006.517,2000.915,2976.0,59588440.0
2005-01-10 10:00:00,2008.08,2016.256,2017.108,2007.326,5210.0,104786540.0
2005-01-10 11:15:00,2016.257,2013.643,2020.511,2007.9,7108.0,143038740.0
2005-01-10 14:15:00,2012.792,2014.73,2018.666,2010.24,4392.0,88430840.0
2005-01-11 09:15:00,2014.73,2008.457,2016.264,2006.724,5780.0,116255780.0
2005-01-11 10:15:00,2007.618,2005.048,2010.952,2003.366,4188.0,84002320.0
2005-01-11 11:30:00,2005.157,2004.967,2007.648,2003.613,2410.0,48331360.0
2005-01-11 14:30:00,2004.948,2004.894,2006.681,2003.049,2806.0,56247560.0
2005-01-12 09:30:00,2004.894,2007.54,2015.356,2004.054,2074.0,41625940.0
2005-01-12 10:45:00,2007.54,2006.65,2007.691,2006.65,768.0,15416680.0
2005-01-12 13:45:00,2006.65,2006.636,2007.598,2005.78,1240.0,24881820.0
2005-01-12 14:45:00,2006.741,2014.863,2017.232,2006.636,5722.0,115072820.0
2005-01-13 09:45:00,2014.65,2025.11,2028.641,2012.015,10830.0,219192620.0
2005-01-13 11:00:00,2025.11,2025.913,2026.837,2024.258,2460.0,49841740.0
2005-01-13 14:00:00,2025.913,2018.557,2025.913,2016.654,5812.0,117488920.0
2005-01-13 15:00:00,2018.557,2022.261,2023.916,2017.705,5162.0,104313380.0
2005-01-14 10:00:00,2029.976,2029.939,2037.167,2026.446,9980.0,202935860.0
2005-01-14 11:15:00,2030.972,2028.69,2032.316,2027.834,2334.0,47390600.0
2005-01-14 14:15:00,2028.912,2028.189,2030.957,2027.332,2438.0,49476320.0
2005-01-17 09:15:00,2028.189,2025.167,2031.743,2024.151,4590.0,93180000.0
2005-01-17 10:15:00,2025.997,2011.915,2026.468,2011.084,2910.0,58815280.0
2005-01-17 11:30:00,2011.337,2016.005,2017.667,2004.506,4400.0,88549640.0
2005-01-17 14:30:00,2016.005,2015.49,2017.494,2013.515,1248.0,25150040.0
2005-01-18 09:30:00,2015.49,2021.534,2026.461,2014.596,4724.0,95502300.0
2005-01-18 10:45:00,2022.279,2029.085,2029.094,2022.279,3724.0,75590640.0
2005-01-18 13:45:00,2029.886,2037.549,2043.161,2028.908,7844.0,159807600.0
2005-01-18 14:45:00,2036.804,2047.542,2047.542,2034.135,9092.0,186025080.0
2005-01-19 09:45:00,2047.659,2035.159,2049.665,2032.922,10086.0,206483920.0
2005-01-19 11:00:00,2035.659,2034.119,2035.659,2032.225,3226.0,65894100.0
2005-01-19 14:00:00,2034.119,2032.036,2034.876,2028.49,2580.0,52507040.0
2005-01-19 15:00:00,2032.036,2035.482,2035.965,2030.573,3054.0,62288780.0
2005-01-20 10:00:00,2020.181,2021.621,2023.726,2017.167,3834.0,77725960.0
2005-01-20 11:15:00,2021.621,2019.892,2021.621,2018.381,1672.0,33951340.0
2005-01-20 14:15:00,2019.892,2017.366,2020.385,2014.995,2594.0,52505920.0
2005-01-21 09:15:00,2017.366,2018.695,2021.368,2011.628,4802.0,97063580.0
2005-01-21 10:15:00,2018.44,2019.359,2021.002,2018.44,1554.0,31548460.0
2005-01-21 11:30:00,2019.105,2020.451,2020.96,2018.596,1404.0,28413220.0
2005-01-21 14:30:00,2020.451,2020.5,2021.719,2019.79,414.0,8386040.0
2005-01-24 09:30:00,2020.5,2040.198,2043.34,2016.314,5896.0,120530680.0
2005-01-24 10:45:00,2040.198,2039.333,2042.217,2036.284,5176.0,106310900.0
2005-01-24 13:45:00,2039.333,2038.854,2040.298,2036.231,5670.0,115613080.0
2005-01-24 14:45:00,2039.527,2037.668,2039.819,2036.275,7418.0,150775000.0
2005-01-25 09:45:00,2037.96,2027.729,2038.849,2026.172,3428.0,70306780.0
2005-01-25 11:00:00,2027.729,2026.831,2029.724,2025.385,1734.0,35387220.0
2005-01-25 14:00:00,2027.139,2027.678,2027.728,2025.475,1242.0,25335140.0
2005-01-25 15:00:00,2027.678,2030.733,2033.06,2027.021,2050.0,41899220.0
2005-01-26 10:00:00,2038.58,2039.675,2044.273,2035.641,5728.0,118229120.0
2005-01-26 11:15:00,2039.675,2031.826,2039.675,2031.487,2456.0,50496100.0
2005-01-26 14:15:00,2032.448,2031.717,2034.199,2030.242,2028.0,41218440.0
2005-01-27 09:15:00,2031.717,2033.006,2035.685,2029.795,4270.0,87344160.0
2005-01-27 10:15:00,2032.257,2032.057,2033.037,2024.282,5646.0,115168020.0
2005-01-27 11:30:00,2031.095,2031.481,2033.041,2029.845,1602.0,32722920.0
2005-01-27 14:30:00,2031.454,2038.426,2038.426,2030.625,2662.0,54253560.0
2005-01-28 09:30:00,2038.714,2032.515,2038.922,2028.919,4204.0,85756000.0
2005-01-28 10:45:00,2032.515,2033.793,2035.65,2031.906,2052.0,41905560.0
2005-01-28 13:45:00,2033.793,2033.439,2035.355,2031.477,1072.0,21821520.0
2005-01-28 14:45:00,2033.439,2035.412,2038.986,2032.83,926.0,18878920.0
2005-01-31 09:45:00,2035.412,2022.139,2036.066,2014.28,11654.0,235800160.0
2005-01-31 11:00:00,2022.139,2024.292,2024.607,2021.721,1324.0,26793860.0
2005-01-31 14:00:00,2024.292,2021.805,2024.607,2021.162,1216.0,24601640.0
2005-01-31 15:00:00,2021.805,2020.454,2022.511,2020.454,1752.0,35476040.0
2005-02-01 10:00:00,2023.993,2029.176,2031.27,2023.993,1712.0,34845740.0
2005-02-01 11:15:00,2029.209,2028.963,2030.15,2027.054,476.0,9672740.0
2005-02-01 14:15:00,2029.297,2029.217,2029.997,2027.401,1874.0,38164020.0
2005-02-02 09:15:00,2029.217,2023.993,2031.654,2017.527,2160.0,43974560.0
2005-02-02 10:15:00,2023.993,2021.306,2023.993,2021.306,1032.0,20948000.0
2005-02-02 11:30:00,2021.306,2025.19,2025.19,2021.228,1370.0,27889360.0
2005-02-02 14:30:00,2024.782,2025.223,2025.533,2023.143,806.0,16400360.0
