,open,close,high,low,volume,money
2014-03-21 10:00:00,3256.342,3299.736,3322.419,3234.814,126240.0,4156951120.0
2014-03-21 11:15:00,3299.788,3308.803,3312.7399,3295.797,25544.0,843827440.0
2014-03-21 14:15:00,3308.803,3321.671,3336.808,3303.114,37306.0,1238559760.0
2014-03-24 09:15:00,3323.48,3295.823,3326.63,3272.745,43496.0,1439362040.0
2014-03-24 10:15:00,3293.948,3309.409,3311.419,3286.0369,24312.0,802040320.0
2014-03-24 11:30:00,3309.409,3313.6149,3317.305,3302.05,15976.0,528482280.0
2014-03-24 14:30:00,3313.555,3307.8159,3313.555,3301.839,13592.0,449445040.0
2014-03-25 09:30:00,3309.631,3348.975,3348.975,3305.9409,35220.0,1171442440.0
2014-03-25 10:45:00,3350.625,3345.552,3363.223,3335.243,37296.0,1248341480.0
2014-03-25 13:45:00,3343.685,3369.391,3401.355,3343.685,43960.0,1484282720.0
2014-03-25 14:45:00,3369.391,3379.674,3387.146,3363.819,12564.0,423798320.0
2014-03-26 09:45:00,3379.581,3365.376,3385.248,3355.774,22720.0,765463280.0
2014-03-26 11:00:00,3364.506,3379.109,3380.978,3363.506,8378.0,282399840.0
2014-03-26 14:00:00,3379.109,3375.016,3382.811,3366.048,7624.0,257188160.0
2014-03-26 15:00:00,3375.016,3376.98,3378.908,3367.538,4866.0,164097920.0
2014-03-27 10:00:00,3369.519,3359.405,3369.519,3352.071,15136.0,508376160.0
2014-03-27 11:15:00,3359.351,3369.358,3373.282,3353.546,11084.0,372703560.0
2014-03-27 14:15:00,3371.23,3381.293,3387.206,3367.486,8788.0,296747680.0
2014-03-28 09:15:00,3381.293,3365.958,3381.32,3361.913,8486.0,285871000.0
2014-03-28 10:15:00,3365.678,3377.282,3384.79,3361.624,7064.0,238234680.0
2014-03-28 11:30:00,3377.361,3377.562,3379.235,3363.991,3878.0,130672600.0
2014-03-28 14:30:00,3377.615,3374.054,3385.19,3362.597,13598.0,458718560.0
2014-03-31 09:30:00,3372.18,3404.144,3410.955,3372.153,22000.0,745826280.0
2014-03-31 10:45:00,3404.144,3395.834,3407.892,3390.382,7218.0,245232960.0
2014-03-31 13:45:00,3395.834,3407.849,3409.749,3390.117,8930.0,303659200.0
2014-03-31 14:45:00,3409.698,3400.382,3423.519,3396.785,25006.0,852451440.0
2014-04-01 09:45:00,3402.351,3406.352,3416.27,3399.428,11624.0,395752760.0
