,open,close,high,low,volume,money
2015-04-16 10:15:00,7681.0,7703.4,7714.4,7481.8,32106.0,48730815880.0
2015-04-16 11:15:00,7705.4,7751.2,7789.0,7692.8,29715.0,45974238480.0
2015-04-16 13:45:00,7751.2,7721.0,7760.8,7692.4,20914.0,32286059040.0
2015-04-16 14:45:00,7721.8,7650.0,7723.0,7560.4,24742.0,37863594040.0
2015-04-17 09:45:00,7650.0,7728.4,7779.6,7630.0,23984.0,36901266440.0
2015-04-17 10:45:00,7725.6,7745.0,7885.0,7720.8,32486.0,50686602600.0
2015-04-17 13:15:00,7745.0,7814.2,7918.8,7745.0,27523.0,43137998520.0
2015-04-17 14:15:00,7813.4,7815.8,7839.8,7745.2,19509.0,30439010560.0
2015-04-17 15:15:00,7816.0,7758.2,7869.8,7750.2,20123.0,31406276120.0
2015-04-20 10:15:00,7760.0,7715.0,7856.0,7662.0,28098.0,43503070040.0
2015-04-20 11:15:00,7715.0,7775.4,7832.8,7701.0,20342.0,31690139360.0
2015-04-20 13:45:00,7779.4,7680.6,7799.8,7675.6,19277.0,29890633680.0
2015-04-20 14:45:00,7674.2,7624.2,7712.4,7600.0,23145.0,35410625360.0
2015-04-21 09:45:00,7624.4,7697.4,7725.0,7583.0,18454.0,28238844400.0
2015-04-21 10:45:00,7700.6,7758.0,7775.4,7683.2,22753.0,35210662240.0
2015-04-21 13:15:00,7758.0,7904.0,7915.6,7749.0,27935.0,43868833520.0
2015-04-21 14:15:00,7904.0,7946.0,7971.4,7880.4,31628.0,50151657560.0
2015-04-21 15:15:00,7948.0,8140.4,8147.0,7933.0,39692.0,63949266520.0
2015-04-22 10:15:00,8158.0,8182.2,8202.2,8104.6,34133.0,55559107960.0
2015-04-22 11:15:00,8183.0,8126.4,8194.0,8113.6,26874.0,43747743400.0
2015-04-22 13:45:00,8127.4,8214.6,8228.0,8121.0,25160.0,41178879320.0
2015-04-22 14:45:00,8214.4,8198.2,8237.2,8164.8,25613.0,41991909400.0
2015-04-23 09:45:00,8198.2,8246.0,8257.2,8170.4,25568.0,41986115520.0
2015-04-23 10:45:00,8246.4,8222.2,8284.8,8202.2,26067.0,42978227200.0
2015-04-23 13:15:00,8222.8,8265.0,8276.4,8161.8,23780.0,39143582880.0
2015-04-23 14:15:00,8265.0,8264.4,8378.0,8256.0,33197.0,55161344800.0
2015-04-23 15:15:00,8264.4,8265.6,8309.0,8220.0,32919.0,54424677600.0
2015-04-24 10:15:00,8247.8,8230.4,8247.8,8151.4,27839.0,45650878360.0
2015-04-24 11:15:00,8231.6,8187.8,8292.6,8155.6,32182.0,52941193240.0
2015-04-24 13:45:00,8187.6,8177.6,8214.4,8124.8,27902.0,45576562320.0
2015-04-24 14:45:00,8178.8,8337.6,8340.0,8157.4,28040.0,46271349520.0
2015-04-27 09:45:00,8336.6,8488.2,8509.6,8305.4,26311.0,44208560120.0
2015-04-27 10:45:00,8489.2,8424.0,8547.8,8390.4,31640.0,53627394600.0
2015-04-27 13:15:00,8424.0,8384.0,8437.0,8292.0,29994.0,50203928920.0
2015-04-27 14:15:00,8383.4,8381.8,8399.8,8310.0,26974.0,45030165720.0
2015-04-27 15:15:00,8381.4,8347.2,8395.4,8322.6,20832.0,34838103200.0
2015-04-28 10:15:00,8308.0,8215.0,8419.0,8188.0,39182.0,65216144080.0
2015-04-28 11:15:00,8211.0,8135.0,8283.8,8128.4,38354.0,63096340200.0
2015-04-28 13:45:00,8131.2,8135.0,8188.8,8108.0,32990.0,53762480440.0
2015-04-28 14:45:00,8135.4,8096.0,8183.8,8012.4,38414.0,62149037400.0
2015-04-29 09:45:00,8093.6,8140.0,8177.6,8080.0,32363.0,52604109960.0
2015-04-29 10:45:00,8139.2,8212.8,8224.8,8134.8,34364.0,56311144160.0
2015-04-29 13:15:00,8212.0,8265.2,8268.0,8181.4,28549.0,46964416720.0
2015-04-29 14:15:00,8265.2,8283.2,8287.6,8222.0,25546.0,42224616880.0
2015-04-29 15:15:00,8283.2,8302.2,8308.6,8231.4,28515.0,47200262960.0
2015-04-30 10:15:00,8320.0,8327.0,8408.0,8303.8,28413.0,47514966520.0
