,open,close,high,low,volume,money
2015-03-26 22:00:00,102070.0,102070.0,102070.0,102070.0,0.0,0.0
2015-03-26 23:00:00,102070.0,102070.0,102070.0,102070.0,0.0,0.0
2015-03-27 00:00:00,102070.0,102070.0,102070.0,102070.0,0.0,0.0
2015-03-27 01:00:00,102070.0,102070.0,102070.0,102070.0,0.0,0.0
2015-03-27 10:00:00,102146.312,101303.351,102741.918,100687.845,19116.0,1933936800.0
2015-03-27 11:15:00,101275.124,101299.531,101431.228,101115.235,5624.0,569375300.0
2015-03-27 14:15:00,101300.804,101230.393,101394.99,101166.247,2630.0,266355520.0
2015-03-27 21:15:00,101220.984,98879.466,101225.645,98511.747,7124.0,711796440.0
2015-03-27 22:15:00,98884.265,98890.205,99977.1609,98812.354,10208.0,1012095400.0
2015-03-27 23:15:00,98909.249,98801.1309,99074.787,98628.024,5784.0,571635400.0
2015-03-28 00:15:00,98724.955,98808.958,98932.8239,98724.955,2480.0,245049300.0
2015-03-30 09:15:00,98799.436,98803.307,99062.247,98208.155,5848.0,577387600.0
2015-03-30 10:15:00,98811.829,97660.702,98841.395,97536.9149,11848.0,1164005540.0
2015-03-30 11:30:00,97717.834,97084.115,97981.028,97065.071,5988.0,584273840.0
2015-03-30 14:30:00,97074.175,98447.247,98456.769,96851.721,14424.0,1409643140.0
2015-03-30 21:30:00,98437.725,97923.716,98544.194,97186.719,16596.0,1628451880.0
2015-03-30 22:30:00,97916.558,97426.151,98178.769,97426.151,11294.0,1103812300.0
2015-03-30 23:30:00,97410.563,96783.811,97541.995,96727.4829,13816.0,1340559840.0
2015-03-31 00:30:00,96862.87,96487.445,96928.586,96331.818,9116.0,879527500.0
2015-03-31 09:30:00,96478.057,95254.952,96609.489,93891.679,24982.0,2373993280.0
2015-03-31 10:45:00,95253.079,95021.469,95404.785,94558.624,13852.0,1316155980.0
2015-03-31 13:45:00,95018.847,95139.4679,95382.701,94879.2179,11130.0,1059128360.0
2015-03-31 14:45:00,95130.557,95147.894,95571.0359,95015.245,12188.0,1160584720.0
2015-03-31 21:45:00,95129.118,93422.97,95287.811,93027.471,26750.0,2509090340.0
2015-03-31 22:45:00,93432.4,93583.89,93850.319,93113.243,19546.0,1826158820.0
2015-03-31 23:45:00,93583.89,92869.842,93602.751,92661.998,15716.0,1463555540.0
2015-04-01 00:45:00,92868.244,91913.952,92877.994,91337.031,25834.0,2377134580.0
2015-04-01 09:45:00,91951.674,92930.778,93157.121,91760.336,22810.0,2114199460.0
2015-04-01 11:00:00,92940.209,93284.994,93435.225,92518.8089,13044.0,1213368340.0
2015-04-01 14:00:00,93284.624,92974.303,93566.442,92964.873,14338.0,1336290820.0
2015-04-01 15:00:00,92979.5059,92520.017,93013.996,92017.853,27786.0,2571848900.0
2015-04-01 22:00:00,92869.436,92885.242,93493.348,92713.867,30058.0,2796751960.0
2015-04-01 23:00:00,92894.355,92841.008,93002.452,92563.758,19030.0,1766161820.0
2015-04-02 00:00:00,92850.504,94048.882,94521.485,92850.504,41268.0,3872946060.0
2015-04-02 01:00:00,94049.118,94383.188,94589.467,94049.118,15514.0,1463779280.0
2015-04-02 10:00:00,94291.292,93733.126,94338.776,93575.3239,19054.0,1788215720.0
2015-04-02 11:15:00,93723.63,94282.15,94337.594,93704.636,10730.0,1008958980.0
2015-04-02 14:15:00,94292.4149,95720.477,95876.951,94263.349,38218.0,3641637140.0
2015-04-02 21:15:00,95732.4869,95990.404,96567.545,95661.8769,43998.0,4230780000.0
2015-04-02 22:15:00,95990.404,96282.57,96614.542,95814.655,37802.0,3640182960.0
2015-04-02 23:15:00,96282.57,96338.941,96475.3769,95884.046,23072.0,2221148780.0
2015-04-03 00:15:00,96338.941,96053.073,96479.937,96053.073,12458.0,1200075700.0
2015-04-03 09:15:00,96043.587,96124.847,96349.319,95907.155,9602.0,923106540.0
2015-04-03 10:15:00,96105.876,96085.282,96231.724,96011.017,4936.0,474471820.0
2015-04-03 11:30:00,96094.768,96708.457,96851.845,96085.282,16958.0,1638027500.0
2015-04-03 14:30:00,96715.189,97353.831,97769.808,96664.4109,27880.0,2714429060.0
2015-04-07 09:30:00,97363.317,97799.289,97952.14,97085.908,19020.0,1854993600.0
2015-04-07 10:45:00,97808.1269,97129.164,97827.033,97063.975,14682.0,1431038940.0
2015-04-07 13:45:00,97140.605,96404.117,97253.1839,95931.234,34226.0,3301293060.0
2015-04-07 14:45:00,96404.635,96166.926,96460.548,96119.454,12598.0,1212976080.0
2015-04-07 21:45:00,96185.03,94878.546,96442.28,94416.179,36004.0,3424141960.0
2015-04-07 22:45:00,94887.822,95390.835,95581.003,94793.562,23866.0,2273359420.0
2015-04-07 23:45:00,95381.5589,94828.498,95417.3239,94791.727,15638.0,1486983860.0
2015-04-08 00:45:00,94815.0209,94249.541,94815.356,94101.339,20680.0,1954646940.0
2015-04-08 09:45:00,94249.541,93735.1119,94721.953,93577.41,28466.0,2679074320.0
2015-04-08 11:00:00,93741.48,93694.403,94079.117,93642.562,12356.0,1159774420.0
2015-04-08 14:00:00,93694.403,94558.589,94568.031,93292.206,29734.0,2791513320.0
2015-04-08 15:00:00,94551.413,93929.219,94617.02,93657.335,26752.0,2514372860.0
2015-04-08 22:00:00,94391.8769,95012.21,95226.979,94307.173,42252.0,4009306400.0
2015-04-08 23:00:00,95032.2709,94656.032,95138.201,94526.907,21950.0,2082913860.0
2015-04-09 00:00:00,94641.607,94018.834,94660.138,93912.639,23070.0,2175385540.0
2015-04-09 01:00:00,94028.099,94081.539,94159.361,93963.24,7740.0,728215680.0
2015-04-09 10:00:00,94073.705,94197.976,94536.501,93899.935,21150.0,1992846140.0
2015-04-09 11:15:00,94197.976,94249.391,94605.287,94096.0549,20986.0,1982218220.0
2015-04-09 14:15:00,94248.511,93895.523,94344.35,93858.461,16686.0,1570369880.0
2015-04-09 21:15:00,93895.602,94351.837,94593.753,93867.806,18890.0,1780952200.0
2015-04-09 22:15:00,94351.1309,93791.231,94566.715,93649.101,25592.0,2408704400.0
2015-04-09 23:15:00,93794.058,93589.72,93861.15,93406.235,19662.0,1841272420.0
2015-04-10 00:15:00,93580.437,93396.3579,93679.457,93305.136,9640.0,901318380.0
2015-04-10 09:15:00,93387.075,93809.229,93818.513,93171.447,12330.0,1153189880.0
2015-04-10 10:15:00,93825.134,93873.85,94125.589,93715.244,13752.0,1291992260.0
2015-04-10 11:30:00,93875.815,93970.022,94039.037,93820.115,7500.0,704705360.0
2015-04-10 14:30:00,94091.576,94767.8089,94933.887,94048.455,29170.0,2756882740.0
2015-04-10 21:30:00,94778.152,95034.2369,95264.914,94273.579,32090.0,3041296780.0
2015-04-10 22:30:00,95031.729,94951.463,95620.054,94782.369,29420.0,2800246980.0
2015-04-10 23:30:00,94942.208,94543.2,94979.227,94468.084,23434.0,2218684900.0
2015-04-11 00:30:00,94538.681,94522.478,94745.582,94400.016,14310.0,1353381640.0
2015-04-13 09:30:00,94531.732,93921.8089,94683.392,93903.299,19252.0,1816531520.0
2015-04-13 10:45:00,93920.402,94218.715,94292.304,93677.348,19512.0,1833261060.0
2015-04-13 13:45:00,94228.015,94242.984,94442.116,94032.562,11412.0,1076140280.0
2015-04-13 14:45:00,94214.073,95096.295,95272.562,94149.453,35136.0,3332320920.0
2015-04-13 21:45:00,95088.115,94571.541,95470.065,94393.508,42386.0,4023136320.0
2015-04-13 22:45:00,94591.913,94353.597,94700.9149,94296.319,11230.0,1061802140.0
2015-04-13 23:45:00,94399.117,94025.239,94473.828,94008.552,17198.0,1621141520.0
2015-04-14 00:45:00,93979.927,93569.414,94001.382,93466.794,23914.0,2239718840.0
2015-04-14 09:45:00,93560.331,92978.89,93918.126,92804.637,40316.0,3765637340.0
2015-04-14 11:00:00,92980.695,93729.123,94041.659,92879.671,36076.0,3371118600.0
2015-04-14 14:00:00,93727.939,93027.85,93810.742,92866.903,24736.0,2308701860.0
2015-04-14 15:00:00,93026.272,93069.539,93401.1609,92922.188,26632.0,2480283000.0
2015-04-14 22:00:00,92686.27,93292.153,93319.137,92608.429,38362.0,3569382920.0
2015-04-14 23:00:00,93292.153,93771.6459,93837.397,93113.724,25224.0,2358186540.0
2015-04-15 00:00:00,93771.6459,93965.788,94042.763,93316.62,34098.0,3196668220.0
2015-04-15 01:00:00,93956.793,93891.884,94052.136,93845.255,11186.0,1051332420.0
2015-04-15 10:00:00,93846.91,94376.447,94449.5209,93642.516,35430.0,3336298460.0
