,open,close,high,low,volume,money
2005-01-04 10:00:00,11454.868,12065.752,12095.3799,11453.396,716.0,43134600.0
2005-01-04 11:15:00,12065.752,12059.611,12084.333,12047.665,844.0,50861000.0
2005-01-04 14:15:00,12059.905,11973.185,12064.354,11973.185,1476.0,88664150.0
2005-01-05 09:15:00,11973.185,11976.863,12003.284,11917.141,2182.0,130708650.0
2005-01-05 10:15:00,11976.863,11981.814,11989.837,11968.411,612.0,36769500.0
2005-01-05 11:30:00,11981.814,11981.924,11991.426,11960.6209,690.0,41358750.0
2005-01-05 14:30:00,11978.619,12000.402,12000.402,11970.472,484.0,29019950.0
2005-01-06 09:30:00,12002.462,12059.511,12069.803,12002.462,1488.0,89589500.0
2005-01-06 10:45:00,12058.717,12043.499,12066.556,12031.345,610.0,36808400.0
2005-01-06 13:45:00,12040.966,12054.592,12068.749,12038.292,476.0,28721450.0
2005-01-06 14:45:00,12054.592,12058.913,12067.074,12033.366,756.0,45599750.0
2005-01-07 09:45:00,12053.325,11988.722,12070.122,11982.074,1408.0,84777950.0
2005-01-07 11:00:00,11990.696,11962.269,12004.275,11962.269,1380.0,82791850.0
2005-01-07 14:00:00,11960.7099,11993.954,11997.434,11960.7099,886.0,53158500.0
2005-01-07 15:00:00,11993.954,11975.202,11993.954,11973.748,496.0,29760050.0
2005-01-10 10:00:00,11962.292,11977.251,11985.361,11942.878,1172.0,70169150.0
2005-01-10 11:15:00,11977.251,11970.321,11984.893,11953.924,688.0,41223000.0
2005-01-10 14:15:00,11970.321,11992.802,12003.957,11963.516,1178.0,70678650.0
2005-01-11 09:15:00,11992.802,11967.989,11996.034,11956.772,926.0,55531350.0
2005-01-11 10:15:00,11964.559,11955.461,11978.733,11936.42,908.0,54400450.0
2005-01-11 11:30:00,11952.341,11974.738,11978.168,11952.341,374.0,22403050.0
2005-01-11 14:30:00,11971.308,11927.833,11971.308,11907.468,1468.0,87595150.0
2005-01-12 09:30:00,11927.833,11920.596,11958.7279,11897.18,2194.0,131142150.0
2005-01-12 10:45:00,11920.596,11907.5759,11924.127,11873.293,2172.0,129392400.0
2005-01-12 13:45:00,11907.5759,12016.338,12053.931,11904.045,8710.0,523258750.0
2005-01-12 14:45:00,12020.599,12126.813,12138.509,12020.599,10376.0,628525400.0
2005-01-13 09:45:00,12126.504,12135.147,12185.558,12084.893,11326.0,689535550.0
2005-01-13 11:00:00,12135.147,12139.292,12187.581,12121.063,7980.0,486616350.0
2005-01-13 14:00:00,12141.2729,12120.142,12157.2099,12108.08,6132.0,373088100.0
2005-01-13 15:00:00,12120.142,12115.2279,12132.992,12111.732,2496.0,151747350.0
2005-01-14 10:00:00,12107.216,12098.489,12131.6919,12070.0669,2606.0,158212350.0
2005-01-14 11:15:00,12099.543,12144.874,12178.977,12098.955,5238.0,319465750.0
2005-01-14 14:15:00,12144.874,12123.824,12178.875,12115.182,3952.0,241151100.0
2005-01-17 09:15:00,12123.824,12121.019,12129.866,12073.403,2622.0,159402950.0
2005-01-17 10:15:00,12124.4509,12077.4509,12132.328,12063.724,1946.0,118082850.0
2005-01-17 11:30:00,12076.47,12061.331,12089.738,12061.331,1532.0,92715850.0
2005-01-17 14:30:00,12061.418,12078.5849,12083.751,12054.555,930.0,56326000.0
2005-01-18 09:30:00,12078.5849,11961.408,12079.118,11926.316,6024.0,361727550.0
2005-01-18 10:45:00,11961.785,11932.303,11968.351,11900.168,2940.0,175441600.0
2005-01-18 13:45:00,11934.322,11922.893,11942.265,11915.6919,1044.0,62174250.0
2005-01-18 14:45:00,11922.893,11968.573,12010.65,11922.893,2996.0,179689750.0
