,open,close,high,low,volume,money
2018-11-26 22:00:00,5980.0,5980.0,5980.0,5980.0,0.0,0.0
2018-11-26 23:00:00,5980.0,5980.0,5980.0,5980.0,0.0,0.0
2018-11-27 10:00:00,5832.3149,5631.395,5832.56,5619.813,158342.0,9007779840.0
2018-11-27 11:15:00,5631.86,5554.894,5643.4799,5519.761,137778.0,7675449440.0
2018-11-27 14:15:00,5554.978,5382.004,5556.59,5382.004,183604.0,9982196440.0
2018-11-27 21:15:00,5382.004,5161.044,5382.004,5143.549,172638.0,9017708520.0
2018-11-27 22:15:00,5162.887,5237.098,5294.265,5153.218,301366.0,15696034000.0
2018-11-28 09:15:00,5236.907,5233.21,5286.312,5188.986,207728.0,10871669280.0
2018-11-28 10:15:00,5231.517,5261.294,5263.289,5209.097,84076.0,4403906400.0
2018-11-28 11:30:00,5259.451,5221.842,5268.97,5217.552,88804.0,4660431360.0
2018-11-28 14:30:00,5219.999,5228.58,5253.613,5188.092,119626.0,6255282000.0
2018-11-28 21:30:00,5228.429,5229.204,5261.018,5124.049,276588.0,14433563080.0
2018-11-28 22:30:00,5229.409,5253.369,5284.347,5229.409,204932.0,10784027160.0
2018-11-29 09:30:00,5253.369,5250.74,5272.517,5239.3909,107326.0,5643865040.0
2018-11-29 10:45:00,5249.135,5217.094,5252.923,5184.194,161836.0,8445852080.0
2018-11-29 13:45:00,5216.8909,5211.307,5220.892,5199.528,38814.0,2025210120.0
2018-11-29 14:45:00,5211.307,5139.738,5211.307,5118.396,242724.0,12525129000.0
2018-11-29 21:45:00,5139.738,5156.225,5211.8549,5139.738,234442.0,12141940080.0
2018-11-29 22:45:00,5155.4,5176.729,5198.335,5139.309,224750.0,11631841400.0
2018-11-30 09:45:00,5178.55,5147.442,5180.7209,5137.6719,156164.0,8063013000.0
2018-11-30 11:00:00,5147.442,5149.955,5159.756,5131.999,88816.0,4577993240.0
2018-11-30 14:00:00,5151.777,5151.07,5182.696,5137.9709,127044.0,6559878480.0
2018-11-30 15:00:00,5149.423,5142.154,5164.866,5116.191,140476.0,7237762680.0
2018-11-30 22:00:00,5152.798,5064.947,5152.798,5045.432,303172.0,15418568280.0
2018-11-30 23:00:00,5064.645,5041.859,5078.926,5027.888,185692.0,9394913760.0
2018-12-03 10:00:00,5085.594,5094.631,5257.827,5075.113,324778.0,16674986840.0
2018-12-03 11:15:00,5094.479,5121.849,5123.8459,5088.184,97192.0,4964558360.0
2018-12-03 14:15:00,5120.153,5025.1049,5125.843,5014.659,236016.0,11961512520.0
2018-12-03 21:15:00,5024.803,5031.577,5044.609,4966.969,400874.0,20078175760.0
2018-12-03 22:15:00,5033.235,5015.932,5033.235,4998.455,162798.0,8168675280.0
2018-12-04 09:15:00,5015.763,5050.52,5054.685,5005.588,136142.0,6844743040.0
2018-12-04 10:15:00,5052.347,5019.055,5056.342,5015.402,116284.0,5854521160.0
2018-12-04 11:30:00,5019.055,5028.189,5040.513,4984.6139,230188.0,11543475280.0
2018-12-04 14:30:00,5030.186,5061.644,5105.084,5010.514,286568.0,14500488080.0
2018-12-04 21:30:00,5061.814,5114.013,5129.799,5034.269,390322.0,19837133480.0
2018-12-04 22:30:00,5114.216,5114.954,5145.129,5100.033,343428.0,17627176600.0
2018-12-05 09:30:00,5113.16,5069.817,5117.154,5045.843,300118.0,15253314600.0
2018-12-05 10:45:00,5069.615,5082.38,5111.527,5069.615,190220.0,9697111560.0
2018-12-05 13:45:00,5084.174,5075.003,5088.572,5059.222,157700.0,8009797840.0
2018-12-05 14:45:00,5075.003,5101.559,5121.125,5070.603,209216.0,10685330560.0
2018-12-05 21:45:00,5103.151,5184.56,5200.734,5095.365,341058.0,17606712000.0
2018-12-05 22:45:00,5184.568,5236.012,5238.009,5172.968,324492.0,16915332960.0
2018-12-06 09:45:00,5234.015,5163.557,5249.425,5143.585,320822.0,16686186320.0
2018-12-06 11:00:00,5163.5649,5147.787,5180.794,5145.79,120408.0,6230542760.0
2018-12-06 14:00:00,5148.166,5186.594,5218.281,5141.039,287124.0,14925790800.0
2018-12-06 15:00:00,5186.594,5120.551,5209.993,5118.553,322592.0,16684888440.0
2018-12-06 22:00:00,5101.986,5117.75,5146.534,5075.427,356570.0,18268238240.0
2018-12-06 23:00:00,5116.144,5123.526,5152.917,5110.153,198738.0,10218659160.0
2018-12-07 10:00:00,5125.523,5148.34,5165.532,5108.332,178424.0,9189888360.0
2018-12-07 11:15:00,5150.1409,5164.542,5191.926,5148.34,204588.0,10607033480.0
2018-12-07 14:15:00,5162.936,5121.527,5189.527,5119.137,249818.0,12912918240.0
2018-12-07 21:15:00,5121.135,5176.647,5180.445,5111.712,235520.0,12136444360.0
2018-12-07 22:15:00,5176.45,5163.274,5199.647,5159.476,230120.0,11948385520.0
2018-12-10 09:15:00,5164.877,5149.272,5197.255,5139.087,208282.0,10789807600.0
2018-12-10 10:15:00,5149.666,5180.0469,5189.836,5141.67,142666.0,7389049200.0
2018-12-10 11:30:00,5182.044,5156.866,5204.836,5151.268,192188.0,9973757120.0
2018-12-10 14:30:00,5153.462,5139.866,5172.06,5131.877,129442.0,6687192960.0
2018-12-10 21:30:00,5141.47,5176.833,5179.829,5125.073,245388.0,12679613000.0
2018-12-10 22:30:00,5176.633,5133.508,5178.4309,5133.508,194700.0,10049474240.0
2018-12-11 09:30:00,5135.305,5106.292,5135.305,5079.128,255540.0,13074244480.0
2018-12-11 10:45:00,5106.292,5112.292,5123.679,5093.907,113780.0,5826055280.0
2018-12-11 13:45:00,5112.292,5065.936,5116.084,5065.537,154768.0,7891529720.0
2018-12-11 14:45:00,5065.936,5082.5159,5092.702,5063.939,148436.0,7550753960.0
2018-12-11 21:45:00,5082.5159,5119.662,5121.877,5078.7209,178100.0,9113129600.0
2018-12-11 22:45:00,5119.88,5124.995,5136.323,5113.671,116226.0,5972926600.0
2018-12-12 09:45:00,5124.995,5119.445,5128.771,5105.8819,83998.0,4310648800.0
2018-12-12 11:00:00,5119.445,5104.325,5125.218,5090.783,91976.0,4706084920.0
2018-12-12 14:00:00,5104.325,5113.656,5121.208,5096.774,82142.0,4208384520.0
2018-12-12 15:00:00,5113.656,5122.985,5126.979,5104.326,92686.0,4753938000.0
2018-12-12 22:00:00,5130.078,5098.214,5141.146,5094.452,197814.0,10156122440.0
2018-12-12 23:00:00,5096.217,5092.224,5107.735,5081.631,147382.0,7528184960.0
2018-12-13 10:00:00,5096.448,5109.043,5118.089,5092.917,87538.0,4482049960.0
2018-12-13 11:15:00,5109.274,5111.278,5125.857,5108.58,72572.0,3724252800.0
2018-12-13 14:15:00,5111.278,5118.814,5135.397,5111.278,109218.0,5614809120.0
2018-12-13 21:15:00,5118.814,5117.89,5121.883,5097.135,126622.0,6485685120.0
2018-12-13 22:15:00,5118.1319,5123.166,5145.918,5108.638,183566.0,9442367080.0
2018-12-14 09:15:00,5121.411,5128.9129,5130.91,5112.151,101924.0,5233829200.0
2018-12-14 10:15:00,5128.9129,5112.392,5132.665,5108.158,61198.0,3143603640.0
2018-12-14 11:30:00,5113.665,5112.93,5122.674,5109.914,36088.0,1851004280.0
2018-12-14 14:30:00,5111.416,5105.896,5117.156,5089.621,123064.0,6293721080.0
2018-12-14 21:30:00,5105.896,5104.601,5115.399,5095.102,83568.0,4278812800.0
2018-12-14 22:30:00,5104.359,5115.371,5124.871,5094.618,65918.0,3379185280.0
2018-12-17 09:30:00,5115.13,5105.875,5116.884,5096.618,57074.0,2922783920.0
2018-12-17 10:45:00,5107.63,5113.375,5122.874,5105.875,48678.0,2497117880.0
2018-12-17 13:45:00,5115.371,5122.6319,5128.38,5113.375,56354.0,2894083680.0
2018-12-17 14:45:00,5122.6319,5118.878,5132.131,5115.127,39250.0,2016305680.0
2018-12-17 21:45:00,5118.878,5130.243,5141.502,5106.21,117408.0,6034932880.0
2018-12-17 22:45:00,5130.243,5120.981,5131.999,5119.224,38766.0,1992917120.0
2018-12-18 09:45:00,5120.981,5113.235,5122.977,5100.46,64110.0,3286376120.0
2018-12-18 11:00:00,5113.235,5108.2,5117.464,5108.2,12510.0,641275240.0
2018-12-18 14:00:00,5108.2,5105.963,5117.222,5096.701,52326.0,2679980720.0
2018-12-18 15:00:00,5104.207,5109.716,5118.978,5102.451,32130.0,1646767560.0
2018-12-18 22:00:00,5107.778,5117.282,5126.787,5107.778,56406.0,2896366520.0
2018-12-18 23:00:00,5117.521,5115.2879,5122.796,5110.017,24448.0,1254249360.0
2018-12-19 10:00:00,5109.777,5043.258,5115.2879,5031.7659,176564.0,8949329320.0
2018-12-19 11:15:00,5043.258,5043.225,5058.977,5037.475,60806.0,3075850120.0
2018-12-19 14:15:00,5042.986,5048.9709,5050.967,5020.219,105704.0,5335683160.0
2018-12-19 21:15:00,5050.728,5051.207,5056.233,5041.218,63062.0,3192770720.0
2018-12-19 22:15:00,5050.952,5042.753,5064.671,5036.764,48996.0,2481053320.0
