,open,close,high,low,volume,money
2007-03-26 10:00:00,28483.256,29162.577,29546.15,28458.965,14160.0,2057802300.0
2007-03-26 11:15:00,29174.163,29169.216,29217.894,29104.039,2584.0,377143100.0
2007-03-26 14:15:00,29166.467,29172.367,29216.585,29082.601,2126.0,310301100.0
2007-03-27 09:15:00,29172.367,29563.809,29575.956,29158.118,5520.0,810729750.0
2007-03-27 10:15:00,29545.598,29752.057,29799.22,29545.598,5096.0,757832950.0
2007-03-27 11:30:00,29764.013,29644.95,29764.013,29643.701,3242.0,481915350.0
2007-03-27 14:30:00,29648.935,29500.033,29696.277,29453.186,3704.0,548413300.0
2007-03-28 09:30:00,29497.536,29437.141,29682.208,29381.373,5592.0,826912900.0
2007-03-28 10:45:00,29437.141,29451.757,29506.884,29420.268,1832.0,270250250.0
2007-03-28 13:45:00,29447.691,29479.545,29538.039,29443.625,1576.0,232766500.0
2007-03-28 14:45:00,29478.971,29520.112,29528.741,29463.765,1442.0,212876850.0
2007-03-29 09:45:00,29516.045,29352.799,29550.07,29301.667,3246.0,477876500.0
2007-03-29 11:00:00,29354.79,29326.728,29375.666,29307.867,1054.0,154656250.0
2007-03-29 14:00:00,29326.728,29267.136,29333.889,29182.124,2502.0,366440800.0
2007-03-29 15:00:00,29267.136,29041.84,29275.486,29025.139,3342.0,487467150.0
2007-03-30 10:00:00,29382.371,29218.033,29449.517,29183.838,5696.0,836029050.0
2007-03-30 11:15:00,29218.033,29318.737,29324.629,29209.484,1874.0,274406000.0
2007-03-30 14:15:00,29321.011,29333.538,29445.37,29323.011,4168.0,612625700.0
2007-04-02 09:15:00,29333.538,29362.371,29436.365,29267.758,4032.0,592184050.0
2007-04-02 10:15:00,29362.795,29303.189,29381.191,29293.587,1518.0,222563900.0
2007-04-02 11:30:00,29306.213,29365.925,29383.53,29299.431,1202.0,176416350.0
2007-04-02 14:30:00,29357.334,29325.831,29357.334,29313.793,596.0,87410250.0
2007-04-03 09:30:00,29325.831,28879.901,29330.127,28838.27,4134.0,599573500.0
2007-04-03 10:45:00,28878.367,28670.927,28882.735,28667.557,3260.0,468380250.0
2007-04-03 13:45:00,28679.661,28842.345,28895.495,28675.294,3120.0,449382400.0
2007-04-03 14:45:00,28847.479,28801.703,28892.345,28797.336,2372.0,342325850.0
2007-04-04 09:45:00,28806.071,29075.356,29198.957,28750.385,5380.0,782164000.0
2007-04-04 11:00:00,29075.356,29035.081,29110.494,29035.081,1158.0,168373600.0
2007-04-04 14:00:00,29035.081,29017.066,29068.24,29001.787,1566.0,227386550.0
2007-04-04 15:00:00,29012.674,28977.262,29029.98,28974.338,2066.0,299674800.0
2007-04-05 10:00:00,29689.494,30086.062,30180.88,29541.221,13836.0,2063135800.0
2007-04-05 11:15:00,30086.062,30238.817,30238.817,30068.051,5070.0,765511500.0
2007-04-05 14:15:00,30238.817,30238.715,30238.817,30238.715,482.0,72882800.0
2007-04-06 09:15:00,30238.715,30508.702,30536.405,30110.264,7266.0,1101646650.0
2007-04-06 10:15:00,30505.264,30956.48,31023.764,30505.264,18830.0,2902774950.0
2007-04-06 11:30:00,30965.243,30876.968,30979.094,30703.39,11344.0,1751024700.0
2007-04-06 14:30:00,30876.968,31456.007,31488.338,30872.351,17476.0,2728455100.0
2007-04-09 09:30:00,31464.736,31889.139,32032.232,31131.202,25626.0,4060324050.0
2007-04-09 10:45:00,31889.693,32179.532,32180.356,31886.115,15926.0,2550550950.0
2007-04-09 13:45:00,32179.532,32179.532,32179.532,32178.26,582.0,93486150.0
2007-04-09 14:45:00,32179.532,32179.532,32179.532,32179.532,270.0,43346450.0
2007-04-10 09:45:00,32179.532,33860.947,33860.947,32179.532,27832.0,4634513850.0
2007-04-10 11:00:00,33860.947,32757.183,33860.947,31995.54,29434.0,4844193600.0
2007-04-10 14:00:00,32774.261,33099.236,33366.701,32599.114,40954.0,6753070600.0
2007-04-10 15:00:00,33085.86,32705.973,33120.915,32570.57,34804.0,5717178150.0
2007-04-11 10:00:00,32766.095,32485.737,32951.164,32397.207,41534.0,6772694650.0
2007-04-11 11:15:00,32488.895,32615.725,32684.406,32457.014,26476.0,4313872150.0
2007-04-11 14:15:00,32612.567,32183.401,32612.567,32029.279,30158.0,4869109900.0
2007-04-12 09:15:00,32183.401,33045.994,33165.0559,32183.401,35490.0,5776537500.0
